Subject,Predicate,Object
T. S. Eliot,beeinflusst von,Immanuel Kant
Alexander Sergejewitsch Puschkin,Genre,Bühnenwerk
Monaco,Mitglied von,International Hydrographic Organization
Gloria Estefan,gesprochene oder publizierte Sprachen,Spanisch
Joss Whedon,Tätigkeit,Science-Fiction-Schriftsteller
Chile,diplomatische Beziehung,Deutschland
Gaston Darboux,Tätigkeit,Mathematiker
Chris Cornell,Genre,Hard Rock
Japan,diplomatische Beziehung,Montenegro
Peter Buck,Tätigkeit,Banjospieler
Vanessa Lynn Williams,Instrument,Stimme
Deborah Harry,Tätigkeit,Musiker
Ungarn,diplomatische Beziehung,Frankreich
Lena Horne,Bevölkerungsgruppe,Afroamerikaner
Paulo Coelho,Tätigkeit,Blogger
W. H. Auden,Tätigkeit,Dramatiker
Enzo Jannacci,Instrument,Klavier
Iggy Pop,gesprochene oder publizierte Sprachen,Englisch
Drake,Wohnsitz,Toronto
Lloyd Price,Tätigkeit,Schriftsteller
Lara Fabian,Tätigkeit,Sänger
Iwan Antonowitsch Jefremow,Tätigkeit,Science-Fiction-Schriftsteller
Nelly Furtado,Genre,Popmusik
Slowenien,diplomatische Beziehung,Deutschland
Indonesien,diplomatische Beziehung,Griechenland
Richard Wright,Plattenlabel,EMI
Connie Smith,Tätigkeit,Sänger
Fritz Lang,Sterbeort,Beverly Hills
Amiri Baraka,Mitglied von,American Academy of Arts and Letters
Roger Waters,Genre,Bluesrock
Lars Onsager,Arbeitgeber,Yale University
Estland,diplomatische Beziehung,Republik China
Barry Manilow,Genre,Popmusik
Heinrich Heine,Tätigkeit,Essayist
Litauen,diplomatische Beziehung,Italien
Janis Joplin,Zeitraum,20. Jahrhundert
Pakistan,diplomatische Beziehung,Simbabwe
Ukraine,Mitglied von,Welthandelsorganisation
Henry David Thoreau,Tätigkeit,Übersetzer
Singapur,Mitglied von,Internationale Entwicklungsorganisation
Vince Neil,gesprochene oder publizierte Sprachen,Englisch
Alicia Keys,besuchte Bildungseinrichtung,Columbia University
André Malraux,Tätigkeit,Filmregisseur
Joni Mitchell,Wohnsitz,Toronto
Camille Saint-Saëns,Tätigkeit,Musikkritiker
Mario Vargas Llosa,Tätigkeit,Politiker
Rudyard Kipling,Sterbeort,London
Roger Waters,Tätigkeit,Sänger
Ruanda,diplomatische Beziehung,Nordkorea
Pierre-Joseph Proudhon,beeinflusst von,Hugo Grotius
Italo Calvino,Tätigkeit,Romancier
Kenny Rogers,Tätigkeit,Unternehmer
Olivier Messiaen,Tätigkeit,Musikwissenschaftler
Joumana Haddad,gesprochene oder publizierte Sprachen,Schwedisch
David Hasselhoff,Tätigkeit,Schauspieler
Deutschland,diplomatische Beziehung,Dschibuti
Malaysia,diplomatische Beziehung,Pakistan
James Blake,Tätigkeit,Aufnahmekünstler
Dmitri Alexejewitsch Gluchowski,Tätigkeit,Schriftsteller
George Harrison,Tätigkeit,Filmkomponist
Walerija Iljinitschna Nowodworskaja,gesprochene oder publizierte Sprachen,Russisch
Gordon Parks,Tätigkeit,Filmregisseur
"William Thomson, 1. Baron Kelvin",Mitglied von,Deutsche Akademie der Naturforscher Leopoldina
Marokko,diplomatische Beziehung,Algerien
MC Hammer,Tätigkeit,Schauspieler
Frank Wedekind,gesprochene oder publizierte Sprachen,Deutsch
Bangladesch,diplomatische Beziehung,Australien
Telly Savalas,gesprochene oder publizierte Sprachen,Englisch
Türkei,diplomatische Beziehung,Indonesien
Namibia,Mitglied von,Weltpostverein
Vietnam,diplomatische Beziehung,Australien
František Palacký,Mitglied von,Preußische Akademie der Wissenschaften
Jegor Letow,gesprochene oder publizierte Sprachen,Russisch
Natalie Portman,Tätigkeit,Filmschauspieler
Somalia,Mitglied von,AKP-Gruppe
Amiri Baraka,Tätigkeit,Journalist
Äquatorialguinea,diplomatische Beziehung,Vereinigte Staaten
Michail Alexandrowitsch Scholochow,Tätigkeit,Romancier
Estland,diplomatische Beziehung,Schweden
Robbie Robertson,Tätigkeit,Filmkomponist
Zoë Kravitz,gesprochene oder publizierte Sprachen,Englisch
Witali Lasarewitsch Ginsburg,Tätigkeit,Physiker
Griechenland,diplomatische Beziehung,Vereinigtes Königreich
Frankreich,Mitglied von,Europäische Union
Karl Popper,Tätigkeit,Philosoph
Nick Cannon,Tätigkeit,Fernsehproduzent
Isaac Asimov,Tätigkeit,Science-Fiction-Schriftsteller
Madagaskar,Mitglied von,Internationale Fernmeldeunion
Bill Monroe,Plattenlabel,RCA Records
Wolfhart Pannenberg,Tätigkeit,Theologe
Iwan Alexandrowitsch Gontscharow,Tätigkeit,Autor
Igor Strawinsky,gesprochene oder publizierte Sprachen,Englisch
Antonin Artaud,Bevölkerungsgruppe,Franzosen
Katar,Mitglied von,Weltpostverein
Anthony Appiah,Mitglied von,American Academy of Arts and Sciences
Alanis Morissette,Genre,Dance-Pop
Dänemark,diplomatische Beziehung,Mosambik
Jay-Z,Tätigkeit,Unternehmer
Jan Rubes,Todesursache,Schlaganfall
Bing Crosby,Parteizugehörigkeit,Republikanische Partei
Christoph Wilhelm Hufeland,besuchte Bildungseinrichtung,Georg-August-Universität Göttingen
Mick Ronson,Instrument,Violine
Otto Juljewitsch Schmidt,Parteizugehörigkeit,Kommunistische Partei der Sowjetunion
Avicii,Plattenlabel,EMI
Brendon Urie,Tätigkeit,Gitarrist
Martin Sheen,Tätigkeit,Sprecher
Walter Benjamin,Tätigkeit,Übersetzer
Felipe Colombo,Genre,Alternative Rock
Namibia,Mitglied von,UNESCO
Ani DiFranco,Tätigkeit,Komponist
Mos Def,Tätigkeit,Schauspieler
Little Richard,Tätigkeit,Sänger
Alanis Morissette,Tätigkeit,Fernsehschauspieler
Barbados,Mitglied von,Internationales Zentrum zur Beilegung von Investitionsstreitigkeiten
Frankreich,Mitglied von,Australische Gruppe
Kanada,diplomatische Beziehung,Namibia
Wole Soyinka,Tätigkeit,Philosoph
Sky Ferreira,Tätigkeit,Singer-Songwriter
Sean Combs,Tätigkeit,Rapper
Henri Victor Regnault,Arbeitsgebiet,Chemie
Vereinigtes Königreich,Mitglied von,NATO
Eugène Ionesco,Arbeitsgebiet,darstellende Kunst
Friedrich Engels,Tätigkeit,Schriftsteller
Benin,diplomatische Beziehung,Indien
Felix Philipp Kanitz,Geburtsort,Budapest
Cyndi Lauper,Tätigkeit,Fernsehschauspieler
Trent Reznor,Tätigkeit,Sänger
Big Sean,Bevölkerungsgruppe,Afroamerikaner
Dino Buzzati,Tätigkeit,Dramatiker
Anton Bruckner,Genre,klassische Musik
Kurt Vonnegut,Tätigkeit,Drehbuchautor
Lionel Richie,Tätigkeit,Singer-Songwriter
Ghana,diplomatische Beziehung,Serbien
Türkei,diplomatische Beziehung,Syrien
Neuseeland,diplomatische Beziehung,Nordkorea
Ezra Pound,Tätigkeit,Schriftsteller
Harold Bloom,Mitglied von,American Academy of Arts and Letters
Slowakei,diplomatische Beziehung,Deutschland
São Tomé und Príncipe,Mitglied von,Internationale Bank für Wiederaufbau und Entwicklung
Irving Berlin,Tätigkeit,Liedtexter
Ian McLagan,Instrument,Tasteninstrument
Giuseppe Ungaretti,gesprochene oder publizierte Sprachen,Englisch
Avicii,Tätigkeit,Musiker
Donovan,Instrument,Gitarre
Kasachstan,Mitglied von,Internationale Entwicklungsorganisation
Georges-Louis Leclerc de Buffon,Mitglied von,Russische Akademie der Wissenschaften
Milla Jovovich,Land der Staatsangehörigkeit,Sowjetunion
Tim Rice-Oxley,Genre,Pop-Rock
Walentin Petrowitsch Katajew,Genre,Roman
Emma Goldman,beeinflusst von,Oscar Wilde
Michael Cera,Wohnsitz,Brooklyn
Bulat Schalwowitsch Okudschawa,Genre,Poesie
Tom Wolfe,Land der Staatsangehörigkeit,Vereinigte Staaten
Steve Allen,Wohnsitz,New York City
Sidney Poitier,Genre,Western
Ed Harris,Tätigkeit,Filmproduzent
Graham Greene,beeinflusst von,Robert Louis Stevenson
Robert Musil,besuchte Bildungseinrichtung,Humboldt-Universität zu Berlin
Weird Al Yankovic,Tätigkeit,Drehbuchautor
Ecuador,diplomatische Beziehung,Venezuela
Henri Poincaré,Begräbnisort,Cimetière Montparnasse
Joe Walsh,Instrument,Gitarre
Phil Collins,gesprochene oder publizierte Sprachen,Spanisch
Dänemark,Mitglied von,
Alan Stivell,gesprochene oder publizierte Sprachen,Französisch
David Bowie,Tätigkeit,Sänger
Richard Feynman,Tätigkeit,Hochschullehrer
Nikolai Platonowitsch Ogarjow,Tätigkeit,Dichter
Südafrika,diplomatische Beziehung,Frankreich
Neuseeland,diplomatische Beziehung,Dänemark
Arthur Conan Doyle,Tätigkeit,Science-Fiction-Schriftsteller
Rumänien,diplomatische Beziehung,Serbien
Mark Ronson,Tätigkeit,Gitarrist
Keri Hilson,Tätigkeit,Tänzer
Deutschland,diplomatische Beziehung,Tadschikistan
Hermann Usener,Todesursache,Herzinfarkt
Vereinigtes Königreich,Mitglied von,Asiatische Entwicklungsbank
Mihajlo Pupin,Tätigkeit,Hochschullehrer
Verka Serduchka,Instrument,Klavier
Damon Albarn,Plattenlabel,Parlophone
Irene Cara,Instrument,Stimme
Violetta Villas,gesprochene oder publizierte Sprachen,Deutsch
Nikolai Wladimirowitsch Fomenko,Tätigkeit,Fernsehregisseur
Mali,diplomatische Beziehung,Russland
São Tomé und Príncipe,Mitglied von,Afrikanische Entwicklungsbank
Nicaragua,diplomatische Beziehung,Israel
Iwan Andrejewitsch Krylow,Land der Staatsangehörigkeit,Russland
J. Rodolfo Wilcock,Genre,Poesie
Big Boi,Tätigkeit,Rapper
Roger Miller,Tätigkeit,Liedtexter
A&M Records,Genre,Popmusik
G. K. Chesterton,Tätigkeit,Romancier
Bolivien,diplomatische Beziehung,Iran
Bangladesch,diplomatische Beziehung,Vereinigtes Königreich
Italien,diplomatische Beziehung,Jemen
Volksrepublik China,Mitglied von,Internationales Zentrum zur Beilegung von Investitionsstreitigkeiten
Michelle Williams,Genre,Tanzmusik
Henri Poincaré,Mitglied von,Royal Society of Edinburgh
Alexis de Tocqueville,Geburtsort,Paris
Yehudi Menuhin,Tätigkeit,Dirigent
Roy Clark,Tätigkeit,Banjospieler
Bosnien und Herzegowina,Mitglied von,Weltpostverein
August Ludwig von Schlözer,Land der Staatsangehörigkeit,Deutschland
Janis Ian,Genre,Popmusik
Masiela Lusha,Tätigkeit,Filmschauspieler
Paul Reiser,Tätigkeit,Filmproduzent
Garth Brooks,Tätigkeit,Singer-Songwriter
Selma Lagerlöf,Tätigkeit,Künstler
Joyce Carol Oates,beeinflusst von,Edgar Allan Poe
Simon Sechter,Tätigkeit,Musiktheoretiker
Paraguay,Mitglied von,Organisation für das Verbot chemischer Waffen
Malediven,diplomatische Beziehung,Indien
Iwan Andrejewitsch Urgant,Tätigkeit,Pianist
Charles Rosen,Tätigkeit,Musiktheoretiker
Philippinen,diplomatische Beziehung,Argentinien
Bryan Ferry,Tätigkeit,Singer-Songwriter
Lemmy Kilmister,Land der Staatsangehörigkeit,Vereinigtes Königreich
Ralph Ellison,Tätigkeit,Schriftsteller
Fidschi,diplomatische Beziehung,Frankreich
Albanien,Mitglied von,Vereinte Nationen
Samuel Phillips Huntington,Tätigkeit,Wirtschaftswissenschaftler
Papua-Neuguinea,Mitglied von,Welthandelsorganisation
Gene Kelly,gesprochene oder publizierte Sprachen,Englisch
Jewgeni Alexandrowitsch Jewtuschenko,Tätigkeit,Publizist
Emma Goldman,Land der Staatsangehörigkeit,Vereinigte Staaten
Schweden,diplomatische Beziehung,Israel
Dänemark,Mitglied von,Vertrag über den Offenen Himmel
Pjotr Iljitsch Tschaikowski,Genre,Oper
Mauritius,Mitglied von,Weltpostverein
Dschibuti,Mitglied von,
Waleri Schotajewitsch Meladse,Tätigkeit,Pianist
Barry Gibb,Instrument,Gitarre
James Maslow,Geburtsort,New York City
Honoré de Balzac,Religionszugehörigkeit,Katholizismus
William Butler Yeats,beeinflusst von,Percy Bysshe Shelley
Lionel Richie,Wohnsitz,Los Angeles
Hans Christian Ørsted,Mitglied von,Preußische Akademie der Wissenschaften
Lionel Hampton,Sterbeort,New York City
Tori Amos,Genre,Artrock
Irak,diplomatische Beziehung,Syrien
Pakistan,Mitglied von,Internationale Fernmeldeunion
Sierra Leone,Mitglied von,Vereinte Nationen
Ecuador,diplomatische Beziehung,Malaysia
Theo van Gogh,Tätigkeit,Schauspieler
Levon Helm,Instrument,Mundharmonika
Mauritius,Mitglied von,Internationale Entwicklungsorganisation
Ed Sheeran,Tätigkeit,Schauspieler
August Wilhelm Schlegel,Tätigkeit,Dichter
Toronto,Kontinent,Nordamerika
Helge Schneider,Instrument,Gitarre
Dmitri Dmitrijewitsch Schostakowitsch,Tätigkeit,Komponist
Guglielmo Marconi,Tätigkeit,Physiker
Belize,diplomatische Beziehung,Guatemala
Griechenland,diplomatische Beziehung,Türkei
Michael Nesmith,Tätigkeit,Fernsehschauspieler
Glen Campbell,Tätigkeit,Sänger
Lesotho,Mitglied von,Internationale Finanz-Corporation
Tadschikistan,Mitglied von,Asiatische Entwicklungsbank
Simbabwe,diplomatische Beziehung,Serbien
Vereinigte Staaten,diplomatische Beziehung,Eritrea
Immanuel Kant,beeinflusst von,Platon
Swizz Beatz,Ehepartner(in),Alicia Keys
Saudi-Arabien,diplomatische Beziehung,Ungarn
Schweiz,Amtssprache,Italienisch
Norwegen,diplomatische Beziehung,Republik Zypern
Joyce Carol Oates,Tätigkeit,Tagebuchschreiber
Kambodscha,Mitglied von,Internationale Bank für Wiederaufbau und Entwicklung
Christopher Hitchens,beeinflusst von,Leo Trotzki
Shania Twain,Genre,Popmusik
Amos Oz,Tätigkeit,Hochschullehrer
Hyde,Instrument,Tasteninstrument
Henri Poincaré,Mitglied von,Ungarische Akademie der Wissenschaften
Alanis Morissette,Tätigkeit,Schauspieler
Malta,diplomatische Beziehung,Weißrussland
Tschechien,Mitglied von,Europarat
Kroatien,diplomatische Beziehung,Heiliger Stuhl
Max Born,Mitglied von,Akademie der Wissenschaften der UdSSR
Eugène Ionesco,beeinflusst von,Tristan Tzara
Jason Mraz,Land der Staatsangehörigkeit,Vereinigte Staaten
Milla Jovovich,Genre,Popmusik
Suriname,Mitglied von,International Hydrographic Organization
Australien,diplomatische Beziehung,Philippinen
James Belushi,Tätigkeit,Schauspieler
Jack White,Wohnsitz,Nashville
Dietrich Fischer-Dieskau,Instrument,Stimme
Igor Strawinsky,Sterbeort,New York City
Ivor Novello,Sterbeort,London
Eddie Money,Instrument,Stimme
Jeschajahu Leibowitz,Tätigkeit,Schriftsteller
Wilhelm Blaschke,Sterbeort,Hamburg
Jason Newsted,Tätigkeit,Sänger
Oman,Mitglied von,Arabische Liga
William S. Burroughs,Tätigkeit,Maler
Julio Iglesias,Tätigkeit,Komponist
Fiona Apple,Tätigkeit,Songschreiber
Barbara Mandrell,Instrument,Akkordeon
Nena,gesprochene oder publizierte Sprachen,Deutsch
Lana Del Rey,Plattenlabel,Interscope Records
Eric Burdon,Genre,Blues
Ruanda,diplomatische Beziehung,Volksrepublik China
Jeff Bridges,Tätigkeit,Fernsehschauspieler
Belgien,Mitglied von,Missile Technology Control Regime
Brendon Urie,Tätigkeit,Multiinstrumentalist
Malaysia,diplomatische Beziehung,Syrien
Elmer Bernstein,Geburtsort,New York City
Linda Ronstadt,Tätigkeit,Bühnenschauspieler
Aimee Mann,Tätigkeit,Singer-Songwriter
Max Born,Tätigkeit,Sachbuchautor
Komoren,Mitglied von,UNESCO
Georgien,Mitglied von,Internationale Fernmeldeunion
Ian McLagan,Genre,Rhythm and Blues
Semfira,Tätigkeit,Komponist
T-Bone Walker,Instrument,Klavier
Sudan,diplomatische Beziehung,Bangladesch
Dominica,Mitglied von,Commonwealth of Nations
Jaroslav Vrchlický,Tätigkeit,Dramatiker
Lana Del Rey,Tätigkeit,Sänger
Israel,diplomatische Beziehung,Deutschland
Südafrika,benannt nach,Afrika
Wladislaw Petrowitsch Krapiwin,Land der Staatsangehörigkeit,Sowjetunion
Zdeněk Nejedlý,Mitglied von,Akademie der Wissenschaften der DDR
Jamaika,Mitglied von,Internationale Bank für Wiederaufbau und Entwicklung
Georgien,diplomatische Beziehung,Ecuador
Vereinigtes Königreich,diplomatische Beziehung,Frankreich
Carl Peter Thunberg,Tätigkeit,Zoologe
St. Kitts und Nevis,Mitglied von,UNESCO
Lou Reed,Ehepartner(in),Laurie Anderson
David Foster,Tätigkeit,Keyboarder
Südafrika,diplomatische Beziehung,Iran
Lisa Loeb,Parteizugehörigkeit,Demokratische Partei
Somalia,Kontinent,Afrika
Ludwig Geiger,Arbeitgeber,Humboldt-Universität zu Berlin
Weißrussland,Mitglied von,Weltpostverein
Alexander Sergejewitsch Puschkin,Tätigkeit,Historiker
Mýa,Geburtsort,"Washington, D.C."
Felix Klein,Tätigkeit,Mathematiker
Garth Brooks,Tätigkeit,Filmproduzent
Simbabwe,diplomatische Beziehung,Australien
John Updike,beeinflusst von,James Joyce
Norwegen,Mitglied von,Welthandelsorganisation
Iggy Pop,Tätigkeit,Sänger
Republik China,diplomatische Beziehung,Slowenien
Albert von Szent-Györgyi Nagyrápolt,Tätigkeit,Chemiker
Alphonse Daudet,Tätigkeit,Schriftsteller
Grenada,Mitglied von,Vereinte Nationen
Pavel Jozef Šafárik,Mitglied von,Preußische Akademie der Wissenschaften
Christopher Hitchens,beeinflusst von,George Eliot
Eldar Alexandrowitsch Rjasanow,Tätigkeit,Drehbuchautor
Alexander Issajewitsch Solschenizyn,Land der Staatsangehörigkeit,Russland
Britney Spears,beeinflusst von,Madonna
Kolumbien,Mitglied von,
Tupac Shakur,Genre,Hip-Hop
Thomas Jefferson,Tätigkeit,Jurist
Uruguay,diplomatische Beziehung,Russland
Indien,diplomatische Beziehung,Vietnam
Edward Stanislawowitsch Radsinski,Tätigkeit,Schriftsteller
Mort Shuman,Instrument,Stimme
Vanessa Carlton,Land der Staatsangehörigkeit,Vereinigte Staaten
Dianna Agron,Tätigkeit,Sänger
Samuel R. Delany,Land der Staatsangehörigkeit,Vereinigte Staaten
James Cameron,Tätigkeit,Drehbuchautor
David Lindley,Tätigkeit,Sänger
Alan Stivell,Tätigkeit,Musikproduzent
Dominica,Mitglied von,Internationale Bank für Wiederaufbau und Entwicklung
Will Smith,gesprochene oder publizierte Sprachen,Englisch
Schores Iwanowitsch Alfjorow,Mitglied von,National Academy of Sciences
Paraguay,diplomatische Beziehung,Australien
Kingsley Amis,Religionszugehörigkeit,Atheismus
Pier Paolo Pasolini,Tätigkeit,Filmregisseur
Nora Ephron,Tätigkeit,Kurzgeschichtenautor
Peter Drucker,Geburtsort,Wien
Rob Zombie,Land der Staatsangehörigkeit,Vereinigte Staaten
Brad Delson,Land der Staatsangehörigkeit,Vereinigte Staaten
Montenegro,Mitglied von,Multilaterale Investitions-Garantie-Agentur
Nicaragua,diplomatische Beziehung,Mexiko
Adolf Erik Nordenskiöld,Tätigkeit,
Jack London,Geburtsort,San Francisco
Juri Wisbor,Tätigkeit,Gitarrist
50 Cent,Plattenlabel,Interscope Records
Jerry Lewis,Parteizugehörigkeit,Republikanische Partei
Debby Ryan,Genre,Indie-Pop
Nelly,Tätigkeit,Sänger
Schweiz,diplomatische Beziehung,Australien
Vladimir Prelog,Land der Staatsangehörigkeit,Schweiz
Claude Lévi-Strauss,Tätigkeit,Philosoph
Soulja Boy,Instrument,Stimme
Jacob Grimm,Tätigkeit,Anthropologe
Howard Hughes,Tätigkeit,Ingenieur
T.I.,Tätigkeit,Musikproduzent
William Butler Yeats,beeinflusst von,William Morris
Jacques Brel,Instrument,Gitarre
Äquatorialguinea,Staat,portugiesisches Kolonialreich
Alexander Alexandrowitsch Bogdanow,Tätigkeit,Philosoph
Barbra Streisand,Tätigkeit,Drehbuchautor
Aserbaidschan,Mitglied von,Internationale Entwicklungsorganisation
Österreich,Mitglied von,UNESCO
Gabun,Mitglied von,
Holly Johnson,Instrument,Gitarre
Türkei,diplomatische Beziehung,Kroatien
Wolfgang Schadewaldt,Arbeitgeber,Universität Leipzig
George Harrison,Tätigkeit,Dichter
Leon Battista Alberti,Instrument,Orgel
Slowakei,diplomatische Beziehung,Ungarn
Guatemala,Mitglied von,International Hydrographic Organization
Georg Christoph Lichtenberg,Religionszugehörigkeit,Atheismus
Howard Hughes,Arbeitsgebiet,Unternehmer
Lara Fabian,Arbeitsgebiet,Musikkomposition
Jaroslav Vrchlický,Tätigkeit,Journalist
Gore Vidal,Parteizugehörigkeit,Demokratische Partei
Alexander Agassiz,Mitglied von,Königlich Schwedische Akademie der Wissenschaften
Niger,diplomatische Beziehung,Nigeria
Burkina Faso,Mitglied von,Organisation für Islamische Zusammenarbeit
Jean Cocteau,beeinflusst von,Jules Verne
Allan Sherman,Tätigkeit,Sänger
John Herschel,Mitglied von,Académie des sciences
Uruguay,diplomatische Beziehung,Kuba
Eswatini,Mitglied von,Internationale Finanz-Corporation
Harry Nilsson,Tätigkeit,Drehbuchautor
Bangladesch,Mitglied von,Commonwealth of Nations
Aserbaidschan,Mitglied von,Multilaterale Investitions-Garantie-Agentur
Adriano Celentano,Tätigkeit,Gitarrist
Octavio Paz,Tätigkeit,Schriftsteller
Wilhelm von Humboldt,Tätigkeit,Anthropologe
Vereinigte Staaten,diplomatische Beziehung,Kap Verde
Jim Messina,Tätigkeit,Gitarrist
Georgien,diplomatische Beziehung,Irak
T-Bone Walker,Todesursache,Lungenentzündung
Jorge Luis Borges,Tätigkeit,Bibliothekar
Allan Sherman,Sterbeort,Los Angeles
50 Cent,Tätigkeit,Singer-Songwriter
Malaysia,diplomatische Beziehung,Indien
Bangladesch,diplomatische Beziehung,Laos
Türkei,diplomatische Beziehung,Frankreich
Deutschland,diplomatische Beziehung,Kirgisistan
Selena Gomez,gesprochene oder publizierte Sprachen,Englisch
Alanis Morissette,Genre,Rockmusik
David Cross,Geburtsort,Atlanta
Gustav Landauer,beeinflusst von,Michail Alexandrowitsch Bakunin
Harry Nilsson,Genre,Softrock
Andy Williams,Plattenlabel,Sony Music
A. R. Rahman,Tätigkeit,Filmschauspieler
Malaysia,diplomatische Beziehung,Tansania
Kambodscha,diplomatische Beziehung,Indien
Mexiko,diplomatische Beziehung,Rumänien
Arnold Schwarzenegger,besuchte Bildungseinrichtung,Ludwig-Maximilians-Universität München
Vince Neil,Instrument,Stimme
